id,name,categories,referralId,hasPerk,location.lat,location.lng,location.labeledLatLngs,location.cc,location.city,location.state,location.country,location.formattedAddress,location.address,location.postalCode,location.crossStreet,venuePage.id,location.neighborhood,delivery.id,delivery.url,delivery.provider.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.icon.name
5b4f614fdb3aef0024e21ca3,Equator Coffees & Teas,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648424,False,37.397647,-122.142303,"[{'label': 'display', 'lat': 37.397647, 'lng': -122.142303}, {'label': '?', 'lat': 37.39703, 'lng': -122.142854}]",US,Palo Alto,CA,United States,"['3427 Hillview Ave', 'Palo Alto, CA 94304', 'United States']",3427 Hillview Ave,94304,,,,,,,,,
548f2774498e6b13ea50f46c,Patriot Brew,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648424,False,37.40585012879001,-122.14069728658275,"[{'label': 'display', 'lat': 37.40585012879001, 'lng': -122.14069728658275}]",US,Palo Alto,CA,United States,"['Palo Alto, CA', 'United States']",,,,,,,,,,,
4bb235ad42959c74d084202c,The Coffee Cup,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648426,False,37.38147145231025,-121.82798574175511,"[{'label': 'display', 'lat': 37.38147145231025, 'lng': -121.82798574175511}]",US,San Jose,CA,United States,"['San Jose, CA 95127', 'United States']",,95127,,,,,,,,,
5387fe95498e2936ab8d28ce,Bee Bee House,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648426,False,37.39193475711255,-121.84233074311885,"[{'label': 'display', 'lat': 37.39193475711255, 'lng': -121.84233074311885}]",US,San Jose,CA,United States,"['1030 Piedmont Rd Ste E', 'San Jose, CA 95132', 'United States']",1030 Piedmont Rd Ste E,95132,,,,,,,,,
55956a17498e83b58f8412bb,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.38718087270167,-121.86186759530072,"[{'label': 'display', 'lat': 37.38718087270167, 'lng': -121.86186759530072}]",US,San Jose,CA,United States,"['1155 Capitol Ave (at Berryessa Rd)', 'San Jose, CA 95132', 'United States']",1155 Capitol Ave,95132,at Berryessa Rd,,,,,,,,
4e70efb645ddd3b8620dd06b,Berryessa Hills Coffee Shop,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.38771231970068,-121.85981075518777,"[{'label': 'display', 'lat': 37.38771231970068, 'lng': -121.85981075518777}]",US,San Jose,CA,United States,"['San Jose, CA', 'United States']",,,,,,,,,,,
4a832217f964a5202afa1fe3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.38324096,-121.894416,"[{'label': 'display', 'lat': 37.38324096, 'lng': -121.894416}, {'label': '?', 'lat': 37.383001, 'lng': -121.894423}]",US,San Jose,CA,United States,"['1704 Oakland Rd', 'San Jose, CA 95131', 'United States']",1704 Oakland Rd,95131,,,,,,,,,
589d5032f776b07707193567,Peet's Coffee,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.38192069938478,-121.89590834525708,"[{'label': 'display', 'lat': 37.38192069938478, 'lng': -121.89590834525708}]",US,San Jose,CA,United States,"['1088 E. Brokaw Road, Suite 80,', 'San Jose, CA 95131', 'United States']","1088 E. Brokaw Road, Suite 80,",95131,,,,,,,,,
5bb6670f7564f7003976d740,Remedi,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.382368,-121.894968,"[{'label': 'display', 'lat': 37.382368, 'lng': -121.894968}]",US,San Jose,CA,United States,"['San Jose, CA 95131', 'United States']",,95131,,,,,,,,,
4d07d5a2b26ea1430007c4e7,北京酸奶 KTX Snack Bar,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.387530536718636,-121.88515298653591,"[{'label': 'display', 'lat': 37.387530536718636, 'lng': -121.88515298653591}]",US,San Jose,CA,United States,"['San Jose, CA', 'United States']",,,,,,,,,,,
49cfb671f964a520be5a1fe3,Specialty’s Café & Bakery,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.38537719577012,-121.92574262518788,"[{'label': 'display', 'lat': 37.38537719577012, 'lng': -121.92574262518788}, {'label': '?', 'lat': 37.385582, 'lng': -121.925378}]",US,San Jose,CA,United States,"['2580 N 1st St (at Trimble Rd.)', 'San Jose, CA 95131', 'United States']",2580 N 1st St,95131,at Trimble Rd.,,,,,,,,
4b8ff099f964a520d96a33e3,Cafe 96,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.380352492834234,-121.90683852222043,"[{'label': 'display', 'lat': 37.380352492834234, 'lng': -121.90683852222043}]",US,San Jose,CA,United States,"['Brokaw Road', 'San Jose, CA 95112', 'United States']",Brokaw Road,95112,,,,,,,,,
4f32b0d119836c91c7f03fa8,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.395157,-121.90523999999999,"[{'label': 'display', 'lat': 37.395157, 'lng': -121.90523999999999}]",US,San Jose,CA,United States,"['2151 Oakland Rd', 'San Jose, CA 95131', 'United States']",2151 Oakland Rd,95131,,,,,,,,,
4ae9f908f964a5201cb821e3,Fantasia Coffee & Tea,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.39536857153464,-121.94661516614198,"[{'label': 'display', 'lat': 37.39536857153464, 'lng': -121.94661516614198}, {'label': '?', 'lat': 37.395096, 'lng': -121.945754}]",US,Santa Clara,CA,United States,"['3969 Rivermark Plz (at Rivermark Village)', 'Santa Clara, CA 95054', 'United States']",3969 Rivermark Plz,95054,at Rivermark Village,,,1739231,https://www.grubhub.com/restaurant/fantasia-coffee--tea-3969-rivermark-plz-santa-clara/1739231?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1739231,grubhub,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_grubhub_20180129.png
4fc94575d4f24895b446724e,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.395004,-121.947311,"[{'label': 'display', 'lat': 37.395004, 'lng': -121.947311}, {'label': '?', 'lat': 37.395104, 'lng': -121.945733}]",US,Santa Clara,CA,United States,"['3970 Rivermark Plz', 'Santa Clara, CA 95054', 'United States']",3970 Rivermark Plz,95054,,,Rivermark of Santa Clara,,,,,,
44e34b8bf964a5203b371fe3,Peet's Coffee & Tea,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.39441,-121.945995,"[{'label': 'display', 'lat': 37.39441, 'lng': -121.945995}]",US,Santa Clara,CA,United States,"['3932 Rivermark Plaza, (at Rivermark Village)', 'Santa Clara, CA 95054', 'United States']","3932 Rivermark Plaza,",95054,at Rivermark Village,,,,,,,,
4b3ccc41f964a520698725e3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.385382,-121.927919,"[{'label': 'display', 'lat': 37.385382, 'lng': -121.927919}, {'label': '?', 'lat': 37.385364, 'lng': -121.927903}]",US,San Jose,CA,United States,"['2579 N First St', 'San Jose, CA 95131', 'United States']",2579 N First St,95131,,,,,,,,,
5b105ea4c9a517002cdd15cd,Ebay The Canteen,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.382515,-121.928139,"[{'label': 'display', 'lat': 37.382515, 'lng': -121.928139}]",US,San Jose,CA,United States,"['San Jose, CA 95131', 'United States']",,95131,,,,,,,,,
4f4352b919834bc91f55f7ce,A Taste of Java,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648427,False,37.380684,-121.940517,"[{'label': 'display', 'lat': 37.380684, 'lng': -121.940517}]",US,Santa Clara,CA,United States,"['3170 DE La Cruz Blvd', 'Santa Clara, CA 95054', 'United States']",3170 DE La Cruz Blvd,95054,,,,,,,,,
5c1bf28866611600378822e7,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648428,False,37.38113401101189,-121.97449168175297,"[{'label': 'display', 'lat': 37.38113401101189, 'lng': -121.97449168175297}]",US,Santa Clara,CA,United States,"['3253 Coronado Pl (Scott Boulevard)', 'Santa Clara, CA 95054', 'United States']",3253 Coronado Pl,95054,Scott Boulevard,,,,,,,,
5d83e048dd32490008535228,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648428,False,37.387517,-121.960216,"[{'label': 'display', 'lat': 37.387517, 'lng': -121.960216}]",US,Santa Clara,CA,United States,"['2030 Wyatt Dr', 'Santa Clara, CA 95054', 'United States']",2030 Wyatt Dr,95054,,,,,,,,,
4a428600f964a520eda51fe3,Starbucks,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",v-1586648428,False,37.386338848968066,-121.96091560170578,"[{'label': 'display', 'lat': 37.386338848968066, 'lng': -121.96091560170578}, {'label': '?', 'lat': 37.38638, 'lng': -121.960608}]",US,Santa Clara,CA,United States,"['3700 Thomas Rd', 'Santa Clara, CA 95054', 'United States']",3700 Thomas Rd,95054,,,,,,,,,
